customerId,productId,quantity,retailPrice,transactionId,markUp,orderStatus
110,125,1,72.0,10001,12.0,open
562,810,1,88.0,10002,11.0,open
563,378,3,288.0,10003,12.0,open
293,209,1,110.0,10004,11.0,open
839,765,3,330.0,10005,11.0,open
824,864,2,161.0,10006,11.5,open
959,648,2,168.0,10007,12.0,open
974,135,4,414.0,10008,11.5,open
416,8,2,154.0,10009,11.0,open
371,932,2,156.0,10010,13.0,open
154,357,4,400.0,10011,12.5,open
625,356,2,208.0,10012,13.0,open
8,98,4,312.0,10013,13.0,open
325,400,1,62.5,10014,12.5,open
931,64,2,130.0,10015,13.0,open
142,290,2,115.0,10016,11.5,open
538,635,4,220.0,10017,11.0,open
502,363,3,165.0,10018,11.0,open
822,713,1,62.5,10019,12.5,open
894,843,3,207.0,10020,11.5,open
842,395,3,207.0,10021,11.5,open
666,709,2,125.0,10022,12.5,open
125,296,3,207.0,10023,11.5,open
969,268,2,161.0,10024,11.5,open
651,16,4,400.0,10025,12.5,open
50,918,3,241.5,10026,11.5,open
960,873,2,125.0,10027,12.5,open
408,210,4,432.0,10028,12.0,open
964,934,1,69.0,10029,11.5,open
106,105,3,187.5,10030,12.5,open
973,167,2,220.0,10031,11.0,open
94,775,1,130.0,10032,13.0,open
543,660,3,288.0,10033,12.0,open
244,283,2,184.0,10034,11.5,open
761,784,2,110.0,10035,11.0,open
686,704,2,250.0,10036,12.5,open
306,693,1,80.5,10037,11.5,open
227,137,2,156.0,10038,13.0,open
922,35,4,276.0,10039,11.5,open
273,358,4,350.0,10040,12.5,open
205,215,3,276.0,10041,11.5,open
827,735,3,172.5,10042,11.5,open
764,311,4,230.0,10043,11.5,open
356,111,2,182.0,10044,13.0,open
939,143,3,262.5,10045,12.5,open
459,573,3,262.5,10046,12.5,open
244,116,3,241.5,10047,11.5,open
219,80,2,138.0,10048,11.5,open
343,149,2,225.0,10049,12.5,open
645,200,1,108.0,10050,12.0,open
512,996,2,125.0,10051,12.5,open
875,707,2,130.0,10052,13.0,open
735,848,4,416.0,10053,13.0,open
436,332,3,195.0,10054,13.0,open
656,964,1,104.0,10055,13.0,open
420,701,3,273.0,10056,13.0,open
694,592,2,208.0,10057,13.0,open
257,883,3,288.0,10058,12.0,open
