customerId,productId,quantity,retailPrice,transactionId,markUp,orderStatus
81,306,4,276.0,10001,11.5,open
783,317,2,182.0,10002,13.0,open
206,906,4,468.0,10003,13.0,open
443,148,1,57.5,10004,11.5,open
407,630,4,440.0,10005,11.0,open
558,814,1,100.0,10006,12.5,open
536,445,4,480.0,10007,12.0,open
815,359,2,132.0,10008,11.0,open
968,882,4,308.0,10009,11.0,open
781,495,3,345.0,10010,11.5,open
116,421,3,375.0,10011,12.5,open
890,814,1,104.0,10012,13.0,open
117,91,4,440.0,10013,11.0,open
233,526,3,324.0,10014,12.0,open
993,317,3,273.0,10015,13.0,open
411,336,3,288.0,10016,12.0,open
4,748,4,396.0,10017,11.0,open
466,684,2,240.0,10018,12.0,open
861,140,1,99.0,10019,11.0,open
246,153,1,96.0,10020,12.0,open
671,852,1,125.0,10021,12.5,open
236,999,2,125.0,10022,12.5,open
689,397,1,84.0,10023,12.0,open
312,942,2,138.0,10024,11.5,open
409,810,3,207.0,10025,11.5,open
611,628,2,200.0,10026,12.5,open
37,338,2,115.0,10027,11.5,open
501,134,1,72.0,10028,12.0,open
913,490,4,288.0,10029,12.0,open
984,190,3,165.0,10030,11.0,open
738,724,2,144.0,10031,12.0,open
668,172,2,132.0,10032,11.0,open
178,664,2,250.0,10033,12.5,open
294,509,3,180.0,10034,12.0,open
377,425,1,55.0,10035,11.0,open
727,891,1,75.0,10036,12.5,open
348,520,3,324.0,10037,12.0,open
863,267,3,165.0,10038,11.0,open
25,356,4,432.0,10039,12.0,open
431,32,1,112.5,10040,12.5,open
862,57,2,110.0,10041,11.0,open
516,438,2,144.0,10042,12.0,open
139,485,2,156.0,10043,13.0,open
582,115,4,230.0,10044,11.5,open
157,828,4,322.0,10045,11.5,open
937,631,2,260.0,10046,13.0,open
239,18,4,460.0,10047,11.5,open
136,403,1,77.0,10048,11.0,open
23,780,2,200.0,10049,12.5,open
669,540,1,100.0,10050,12.5,open
116,306,2,150.0,10051,12.5,open
43,569,2,154.0,10052,11.0,open
317,808,4,460.0,10053,11.5,open
630,622,1,72.0,10054,12.0,open
728,558,2,207.0,10055,11.5,open
543,919,3,300.0,10056,12.5,open
258,103,2,230.0,10057,11.5,open
661,886,2,230.0,10058,11.5,open
733,81,3,216.0,10059,12.0,open
210,559,2,260.0,10060,13.0,open
817,427,4,414.0,10061,11.5,open
293,305,3,195.0,10062,13.0,open
756,497,3,195.0,10063,13.0,open
126,809,1,80.5,10064,11.5,open
930,100,3,216.0,10065,12.0,open
721,787,1,130.0,10066,13.0,open
913,194,4,396.0,10067,11.0,open
286,444,1,117.0,10068,13.0,open
244,718,1,65.0,10069,13.0,open
838,969,4,440.0,10070,11.0,open
976,215,2,175.0,10071,12.5,open
642,892,4,336.0,10072,12.0,open
987,480,4,396.0,10073,11.0,open
205,218,1,104.0,10074,13.0,open
678,754,2,138.0,10075,11.5,open
98,492,2,110.0,10076,11.0,open
251,406,3,241.5,10077,11.5,open
837,223,2,150.0,10078,12.5,open
198,572,1,62.5,10079,12.5,open
248,190,1,60.0,10080,12.0,open
515,769,2,130.0,10081,13.0,open
919,375,2,182.0,10082,13.0,open
669,810,4,312.0,10083,13.0,open
752,663,3,216.0,10084,12.0,open
658,676,4,336.0,10085,12.0,open
771,829,3,198.0,10086,11.0,open
782,995,4,350.0,10087,12.5,open
912,846,4,288.0,10088,12.0,open
896,954,1,78.0,10089,13.0,open
768,626,4,414.0,10090,11.5,open
52,391,4,312.0,10091,13.0,open
292,151,2,175.0,10092,12.5,open
213,285,1,115.0,10093,11.5,open
342,654,3,345.0,10094,11.5,open
223,341,1,130.0,10095,13.0,open
93,301,1,72.0,10096,12.0,open
729,948,4,368.0,10097,11.5,open
766,380,4,350.0,10098,12.5,open
485,819,4,468.0,10099,13.0,open
455,748,3,297.0,10100,11.0,open
259,521,4,336.0,10101,12.0,open
8,390,3,360.0,10102,12.0,open
747,62,3,231.0,10103,11.0,open
913,928,3,276.0,10104,11.5,open
880,467,3,264.0,10105,11.0,open
711,619,2,115.0,10106,11.5,open
120,931,2,216.0,10107,12.0,open
885,362,4,350.0,10108,12.5,open
831,725,3,231.0,10109,11.0,open
169,911,3,216.0,10110,12.0,open
12,477,3,276.0,10111,11.5,open
312,576,2,240.0,10112,12.0,open
312,194,3,310.5,10113,11.5,open
49,123,4,460.0,10114,11.5,open
826,158,3,195.0,10115,13.0,open
407,256,2,154.0,10116,11.0,open
941,365,3,172.5,10117,11.5,open
674,416,3,345.0,10118,11.5,open
213,185,2,250.0,10119,12.5,open
907,713,1,103.5,10120,11.5,open
575,322,3,262.5,10121,12.5,open
739,628,3,300.0,10122,12.5,open
76,601,2,182.0,10123,13.0,open
226,841,2,260.0,10124,13.0,open
56,888,2,154.0,10125,11.0,open
550,745,3,312.0,10126,13.0,open
188,927,3,310.5,10127,11.5,open
